0.7,0
0.75826,0.002
0.81254,0.004
0.86264,0.006
0.90844,0.008
0.9498,0.01
0.98663,0.012
1.0188,0.014
1.0464,0.016
1.0692,0.018
1.0872,0.02
1.1006,0.022
1.1093,0.024
1.1133,0.026
1.1127,0.028
1.1077,0.03
1.0983,0.032
1.0846,0.034
1.0668,0.036
1.045,0.038
1.0194,0.04
0.99012,0.042
0.95743,0.044
0.92149,0.046
0.88251,0.048
0.84069,0.05
0.79627,0.052
0.74946,0.054
0.70049,0.056
0.6496,0.058
0.59702,0.06
0.54298,0.062
0.48771,0.064
0.43145,0.066
0.37442,0.068
0.31686,0.07
0.25898,0.072
0.20101,0.074
0.14315,0.076
0.085605,0.078
0.028585,0.08
-0.027721,0.082
-0.083129,0.084
-0.13746,0.086
-0.19054,0.088
-0.24222,0.09
-0.29233,0.092
-0.34074,0.094
-0.3873,0.096
-0.43189,0.098
-0.4744,0.1
-0.51471,0.102
-0.55272,0.104
-0.58834,0.106
-0.62149,0.108
-0.65208,0.11
-0.68006,0.112
-0.70536,0.114
-0.72794,0.116
-0.74774,0.118
-0.76475,0.12
-0.77892,0.122
-0.79025,0.124
-0.79871,0.126
-0.80431,0.128
-0.80705,0.13
-0.80694,0.132
-0.804,0.134
-0.79825,0.136
-0.78973,0.138
-0.77847,0.14
-0.76453,0.142
-0.74796,0.144
-0.72882,0.146
-0.70718,0.148
-0.68312,0.15
-0.65671,0.152
-0.62806,0.154
-0.59725,0.156
-0.5644,0.158
-0.5296,0.16
-0.49299,0.162
-0.45469,0.164
-0.41482,0.166
-0.37352,0.168
-0.33095,0.17
-0.28724,0.172
-0.24255,0.174
-0.19705,0.176
-0.15089,0.178
-0.10425,0.18
-0.057292,0.182
-0.010198,0.184
0.036855,0.186
0.083689,0.188
0.13012,0.19
0.17597,0.192
0.22105,0.194
0.26519,0.196
0.30821,0.198
0.34992,0.2
0.39016,0.202
0.42876,0.204
0.46555,0.206
0.50038,0.208
0.5331,0.21
0.56355,0.212
0.59162,0.214
0.61717,0.216
0.64008,0.218
0.66026,0.22
0.67761,0.222
0.69205,0.224
0.70351,0.226
0.71194,0.228
0.7173,0.23
0.71955,0.232
0.7187,0.234
0.71473,0.236
0.70768,0.238
0.69757,0.24
0.68444,0.242
0.66837,0.244
0.64943,0.246
0.62771,0.248
0.60331,0.25
0.57636,0.252
0.54699,0.254
0.51534,0.256
0.48157,0.258
0.44584,0.26
0.40833,0.262
0.36923,0.264
0.32873,0.266
0.28703,0.268
0.24433,0.27
0.20085,0.272
0.1568,0.274
0.1124,0.276
0.067855,0.278
0.023393,0.28
-0.020774,0.282
-0.064433,0.284
-0.10738,0.286
-0.1494,0.288
-0.19031,0.29
-0.22991,0.292
